charmander;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
charizard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
bulbasaur;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
venusaur;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
squirtle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
blastoise;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
chikorita;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
frookie;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/656.png
frogadier;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/657.png
greninja;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/658.png
mewtwo;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
mew;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
pikachu;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
jigglypuff;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
